iter	Passed	Remaining
180	348	1479
181	350	1477
182	352	1476
183	354	1473
184	356	1470
185	357	1468
186	359	1464
187	361	1461
188	362	1459
189	364	1456
190	366	1454
191	368	1452
192	370	1450
193	372	1448
194	373	1446
195	375	1443
196	377	1441
197	379	1439
198	381	1437
199	383	1435
200	384	1432
201	386	1430
202	388	1429
203	390	1426
204	392	1424
205	394	1421
206	395	1418
207	397	1417
208	399	1414
209	401	1412
210	402	1409
211	404	1407
212	406	1404
213	408	1402
214	410	1400
215	412	1398
216	414	1396
217	416	1395
218	417	1392
219	419	1390
220	421	1387
221	422	1385
222	424	1383
223	426	1380
224	428	1378
225	429	1375
226	431	1373
227	433	1371
228	435	1369
229	437	1367
230	438	1364
231	440	1361
232	442	1360
233	444	1357
234	446	1355
235	448	1353
236	450	1351
237	452	1350
238	453	1348
239	455	1345
240	457	1343
241	458	1340
242	461	1340
243	463	1338
244	465	1337
245	467	1334
246	468	1330
247	470	1329
248	472	1327
249	474	1325
250	475	1322
251	477	1320
252	479	1318
253	480	1315
254	482	1313
255	484	1311
256	486	1308
257	488	1307
258	489	1305
259	491	1302
260	493	1301
261	495	1298
262	497	1296
263	498	1294
264	500	1291
265	502	1289
266	504	1287
267	505	1285
268	507	1283
269	509	1281
270	511	1278
271	513	1277
272	515	1275
273	517	1273
274	519	1272
275	520	1269
276	522	1267
277	524	1266
278	526	1263
279	527	1261
280	529	1259
281	531	1257
282	533	1255
283	535	1253
284	537	1252
285	539	1250
286	541	1248
287	543	1246
288	545	1244
289	546	1243
290	548	1241
291	550	1239
292	552	1237
293	554	1235
294	556	1232
295	558	1231
296	559	1229
297	561	1226
298	564	1227
299	566	1225
300	568	1223
301	570	1222
302	572	1220
303	574	1218
304	575	1216
305	577	1214
306	579	1212
307	581	1210
308	583	1208
309	585	1206
310	587	1204
311	589	1203
312	591	1201
313	593	1199
314	595	1197
315	597	1195
316	598	1193
317	600	1191
318	602	1189
319	604	1187
320	606	1185
321	607	1183
322	609	1181
323	611	1179
324	613	1177
325	615	1175
326	617	1174
327	619	1172
328	620	1169
329	622	1167
330	624	1165
331	626	1163
332	627	1161
333	629	1159
334	631	1158
335	633	1156
336	635	1154
337	636	1151
338	637	1147
339	639	1145
340	640	1142
341	642	1139
342	643	1137
343	645	1134
344	647	1133
345	648	1130
346	649	1127
347	651	1125
348	653	1123
349	655	1121
350	656	1118
351	658	1116
352	659	1113
353	660	1110
354	662	1107
355	663	1104
356	664	1101
357	666	1100
358	668	1098
359	669	1096
360	671	1093
361	672	1091
362	674	1089
363	676	1086
364	677	1083
365	679	1081
366	680	1078
367	681	1076
368	682	1073
369	684	1070
370	686	1068
371	687	1066
372	689	1065
373	691	1062
374	692	1060
375	694	1058
376	695	1055
377	696	1052
378	697	1049
379	698	1046
380	700	1043
381	701	1040
382	702	1038
383	704	1036
384	705	1033
385	707	1031
386	708	1028
387	709	1025
388	710	1023
389	712	1021
390	713	1018
391	714	1015
392	716	1013
393	717	1010
394	718	1007
395	719	1004
396	720	1002
397	722	999
398	723	996
399	724	994
400	725	991
401	726	988
402	727	985
403	728	983
404	729	980
405	730	977
406	732	975
407	733	972
408	734	969
409	735	966
410	736	964
411	737	961
412	738	958
413	739	956
414	740	953
415	742	950
416	743	948
417	744	946
418	745	943
419	747	940
420	748	938
421	748	935
422	749	932
423	750	929
424	752	927
425	753	924
426	754	922
427	755	919
428	756	917
429	757	914
430	758	912
431	759	909
432	760	906
433	761	904
434	762	901
435	763	898
436	764	895
437	765	893
438	766	890
439	767	888
440	768	885
441	770	884
442	772	882
443	773	880
444	774	877
445	775	875
446	777	872
447	778	870
448	779	867
449	780	865
450	781	863
451	782	860
452	783	857
453	784	855
454	786	853
455	787	851
456	788	849
457	789	846
458	790	844
459	791	841
460	792	839
461	793	836
462	794	834
463	796	832
464	797	830
465	798	827
466	799	825
467	800	823
468	801	820
469	802	818
470	803	815
471	804	813
472	805	810
473	806	808
474	807	805
475	808	803
476	809	801
477	810	798
478	812	796
479	813	794
480	814	792
481	815	789
482	816	787
483	817	785
484	818	782
485	819	780
486	820	777
487	821	775
488	822	773
489	823	771
490	824	768
491	825	766
492	826	764
493	827	761
494	828	759
495	829	757
496	830	755
497	831	753
498	832	750
499	833	748
500	834	746
501	835	744
502	836	741
503	837	739
504	838	737
505	840	735
506	841	733
507	842	731
508	843	729
509	845	728
510	847	726
511	849	725
512	851	723
513	852	721
514	853	719
515	854	717
516	855	715
517	856	713
518	857	710
519	859	708
520	860	706
521	861	704
522	862	702
523	863	700
524	864	698
525	865	696
526	866	694
527	867	691
528	868	689
529	869	687
530	870	685
531	871	683
532	873	681
533	874	679
534	875	677
535	876	675
536	877	673
537	878	671
538	879	669
539	880	667
540	881	664
541	882	662
542	883	660
543	884	658
544	885	656
545	886	654
546	888	652
547	889	650
548	890	648
549	891	646
550	892	644
551	893	642
552	894	640
553	895	638
554	896	636
555	897	634
556	899	632
557	900	630
558	901	628
559	902	626
560	903	624
561	904	622
562	905	620
563	906	618
564	907	616
565	908	614
566	909	612
567	910	610
568	911	608
569	912	606
570	913	604
571	914	602
572	915	600
573	916	598
574	917	597
575	918	595
576	919	593
577	920	591
578	922	589
579	923	587
580	924	585
581	925	583
582	926	581
583	927	579
584	928	577
585	929	575
586	930	574
587	931	572
588	932	570
589	934	568
590	935	566
591	936	564
592	937	562
593	938	561
594	939	559
595	941	557
596	941	555
597	942	553
598	943	551
599	945	549
600	946	547
601	947	546
602	948	544
603	949	542
604	950	540
605	951	538
606	952	536
607	953	534
608	954	532
609	955	530
610	956	529
611	957	527
612	959	525
613	960	524
614	961	522
615	962	520
616	963	518
617	964	516
618	965	514
619	966	513
620	968	511
621	969	509
622	970	507
623	971	506
624	972	504
625	973	502
626	974	500
627	976	498
628	977	497
629	979	495
630	981	494
631	982	492
632	983	490
633	984	489
634	985	487
635	986	485
636	987	483
637	988	481
638	989	480
639	990	478
640	991	476
641	992	474
642	993	472
643	995	471
644	997	470
645	998	468
646	999	466
647	1000	464
648	1001	463
649	1002	461
650	1003	459
651	1005	457
652	1006	456
653	1007	454
654	1008	452
655	1009	450
656	1010	449
657	1011	447
658	1012	445
659	1013	443
660	1014	442
661	1015	440
662	1016	438
663	1017	436
664	1018	435
665	1019	433
666	1020	431
667	1021	429
668	1023	428
669	1024	426
670	1025	424
671	1026	423
672	1028	421
673	1029	420
674	1030	418
675	1031	416
676	1033	415
677	1034	413
678	1035	411
679	1037	410
680	1038	408
681	1039	406
682	1040	405
683	1041	403
684	1042	401
685	1043	400
686	1044	398
687	1045	396
688	1046	394
689	1047	393
690	1049	391
691	1049	389
692	1051	388
693	1052	386
694	1053	384
695	1054	383
696	1055	381
697	1056	380
698	1058	378
699	1059	376
700	1060	375
701	1061	373
702	1062	371
703	1063	370
704	1064	368
705	1065	366
706	1067	365
707	1068	363
708	1069	361
709	1070	360
710	1071	358
711	1072	356
712	1073	355
713	1074	353
714	1076	352
715	1077	350
716	1079	349
717	1080	347
718	1081	345
719	1082	344
720	1083	342
721	1084	340
722	1085	339
723	1086	337
724	1087	336
725	1088	334
726	1089	332
727	1091	331
728	1092	329
729	1094	328
730	1095	326
731	1096	325
732	1097	323
733	1098	321
734	1100	320
735	1101	318
736	1102	317
737	1103	315
738	1104	314
739	1106	312
740	1107	310
741	1108	309
742	1109	307
743	1110	305
744	1111	304
745	1112	302
746	1113	301
747	1115	299
748	1116	298
749	1117	296
750	1118	294
751	1119	293
752	1120	291
753	1121	290
754	1122	288
755	1124	287
756	1125	285
757	1126	283
758	1127	282
759	1128	280
760	1129	279
761	1131	277
762	1132	275
763	1133	274
764	1134	272
765	1136	271
766	1137	269
767	1138	268
768	1139	266
769	1140	265
770	1141	263
771	1143	262
772	1144	260
773	1145	258
774	1146	257
775	1147	255
776	1148	254
777	1149	252
778	1150	251
779	1151	249
780	1152	247
781	1153	246
782	1154	244
783	1155	243
784	1156	241
785	1158	240
786	1159	238
787	1160	237
788	1161	235
789	1162	234
790	1163	232
791	1164	230
792	1166	229
793	1167	227
794	1168	226
795	1169	224
796	1170	223
797	1171	221
798	1172	220
799	1173	218
800	1175	217
801	1176	215
802	1177	214
803	1179	212
804	1180	211
805	1182	209
806	1184	208
807	1185	206
808	1186	205
809	1187	203
810	1188	202
811	1189	200
812	1190	199
813	1192	197
814	1194	196
815	1195	194
816	1197	193
817	1197	191
818	1199	190
819	1200	188
820	1201	187
821	1203	185
822	1204	184
823	1205	182
824	1206	181
825	1208	179
826	1209	178
827	1210	176
828	1212	175
829	1213	174
830	1214	172
831	1215	170
832	1217	169
833	1218	168
834	1219	166
835	1220	165
836	1221	163
837	1223	161
838	1224	160
839	1225	159
840	1227	157
841	1228	156
842	1229	154
843	1230	153
844	1231	151
845	1233	150
846	1234	148
847	1235	147
848	1237	145
849	1238	144
850	1239	142
851	1241	141
852	1243	139
853	1244	138
854	1245	136
855	1247	135
856	1249	134
857	1250	132
858	1252	131
859	1253	129
860	1254	128
861	1256	126
862	1257	125
863	1259	123
864	1260	122
865	1261	120
866	1263	119
867	1264	118
868	1266	116
869	1268	115
870	1269	113
871	1270	112
872	1272	110
873	1273	109
874	1275	107
875	1277	106
876	1278	104
877	1280	103
878	1281	102
879	1282	100
880	1284	99
881	1285	97
882	1286	96
883	1287	94
884	1289	93
885	1291	91
886	1292	90
887	1294	88
888	1295	87
889	1297	86
890	1298	84
891	1299	83
892	1301	81
893	1302	80
894	1303	78
895	1305	77
896	1306	75
897	1307	74
898	1309	72
899	1311	71
900	1312	69
901	1313	68
902	1314	66
903	1316	65
904	1317	64
905	1318	62
906	1320	61
907	1321	59
908	1322	58
909	1323	56
910	1324	55
911	1325	53
912	1326	52
913	1327	50
914	1329	49
915	1330	47
916	1331	46
917	1333	45
918	1334	43
919	1335	42
920	1336	40
921	1337	39
922	1338	37
923	1340	36
924	1341	34
925	1343	33
926	1344	31
927	1345	30
928	1347	29
929	1348	27
930	1350	26
931	1351	24
932	1353	23
933	1354	21
934	1355	20
935	1357	18
936	1359	17
937	1361	15
938	1362	14
939	1363	13
940	1365	11
941	1366	10
942	1367	8
943	1368	7
944	1370	5
945	1371	4
946	1372	2
947	1374	1
948	1376	0
