iter	Logloss
0	0.516548964
1	0.4423500779
2	0.3695584777
3	0.3295371437
4	0.2996627403
5	0.2818157214
6	0.2589435093
7	0.2426425301
8	0.2348305723
9	0.2257025014
10	0.2191894099
11	0.2067241715
12	0.1968210422
13	0.1878480773
14	0.1832956798
15	0.1807231297
16	0.1714768434
17	0.1645413763
18	0.1579881934
19	0.1535160444
20	0.1474068312
21	0.1454195189
22	0.1442408325
23	0.1430892484
24	0.1352225146
25	0.1263587169
26	0.1204420701
27	0.1187294371
28	0.1156959289
29	0.1120922287
30	0.111500995
31	0.1109264022
32	0.1105912886
33	0.1103267891
34	0.1100526008
35	0.1067242316
36	0.1034784232
37	0.1021802181
38	0.1009702222
39	0.1006982919
40	0.09553148525
41	0.09381690348
42	0.09354210452
43	0.09060285634
44	0.08971997655
45	0.08941922455
46	0.08864339628
47	0.08348089441
48	0.08325841903
49	0.0830947717
50	0.08293940469
51	0.08018801259
52	0.08004681948
53	0.07697956487
54	0.07496848856
55	0.07298365714
56	0.0709635934
57	0.06972414989
58	0.06822173008
59	0.06766480183
60	0.06505026081
61	0.06359407332
62	0.0620978434
63	0.06092976233
64	0.05909923241
65	0.05874505671
66	0.05714971984
67	0.05692843582
68	0.05551246813
69	0.05482749596
70	0.0539553917
71	0.05250506732
72	0.05166478574
73	0.05073712521
74	0.04990246079
75	0.04886644144
76	0.04838272731
77	0.04747872728
78	0.04736372496
79	0.04722561974
80	0.04707015168
81	0.04587084811
82	0.04499774787
83	0.04420253492
84	0.04363673519
85	0.04266483574
86	0.04209821209
87	0.04148031366
88	0.0410839446
89	0.04055656433
90	0.04013661975
91	0.03980121348
92	0.03943745991
93	0.03918645134
94	0.0386857501
95	0.0383865903
96	0.03810575521
97	0.03790658805
98	0.0375919241
99	0.03750368366
